,Master of,Studiengang,Link
0,Master of Science,Angewandte Psychologie,https://www.fhnw.ch/de/studium/psychologie/master-angewandte-psychologie
1,Master of Arts,Architektur,https://www.fhnw.ch/de/studium/architektur-bau-geomatik/master-studiengang-architektur
2,Master of Science,Virtual Design and Construction (VDC),https://www.fhnw.ch/de/studium/architektur-bau-geomatik/master-studiengang-msc-fhnw-virtual-design-and-construction
3,Master of Science,Master of Science in Engineering MSE,https://www.fhnw.ch/de/studium/architektur-bau-geomatik/master-of-science-fhnw-in-engineering-mse
4,Master of Arts,Fine Arts,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/master-of-arts-fhnw-in-fine-arts
5,Master of Arts,Digital Communication Environments,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/master-of-arts-fhnw-in-design-digital-communication-environments
6,Master of Arts,Masterstudio Fashion Design,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/masterstudio-fashion-design
7,Master of Arts,Masterstudio Experimental Design,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/masterstudio-experimental-design
8,Master of Arts,Masterstudio Scenography,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/masterstudio-scenography
9,Master of Arts,Masterstudio Industrial Design,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/masterstudio-industrial-design
10,Master of Arts,"Vermittlung von Kunst und Design, Lehrdiplom f체r Maturit채tsschulen",https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/ma-vermittlung-kunst-design
11,Master of Arts,Transversal Design*,https://www.fhnw.ch/de/studium/gestaltung-kunst/master-of-arts/ma-transversaldesign
12,Master of Science,Life Sciences,https://www.fhnw.ch/de/studium/lifesciences/master/life-sciences
13,Master of Science,Medical Informatics,https://www.fhnw.ch/de/studium/lifesciences/master/medical-informatics
14,Master of Arts,Spezialisierte Performance,https://www.fhnw.ch/de/studium/musik/spezialisierte-performance
15,Master of Arts,Performance,https://www.fhnw.ch/de/studium/musik/performance-ma
16,Master of Arts,Musikp채dagogik,https://www.fhnw.ch/de/studium/musik/musikpaedagogik-master
17,Master of Arts,Komposition/ Musiktheorie,https://www.fhnw.ch/de/studium/musik/master-komposition-musiktheorie
18,Master of Arts,Musik und Szene in Transformation,https://www.fhnw.ch/de/studium/musik/musik-und-szene-in-transformation
19,Bachelor/Master of Arts,Sekundarstufe I,https://www.fhnw.ch/de/studium/paedagogik/sekundarstufe-1
20,Lehrdiplom,Sekundarstufe II,https://www.fhnw.ch/de/studium/paedagogik/sekundarstufe-2
21,Master of Arts,Sonderp채dagogik,https://www.fhnw.ch/de/studium/paedagogik/master-sonderpaedagogik
22,Master of Arts,Soziale Arbeit,https://www.fhnw.ch/de/studium/soziale-arbeit/master
23,Master of Science,Engineering MSE,https://www.fhnw.ch/de/studium/technik/mse
24,Master of Science,Business Information Systems,https://www.fhnw.ch/de/studium/wirtschaft/msc-bis-business-information-systems
25,Master of Science,International Management,https://www.fhnw.ch/de/studium/wirtschaft/msc-im
26,Master of Science,Sustainable Business Development (trinational),https://www.fhnw.ch/de/studium/wirtschaft/msc-tri
